id,schoolname,KECAMATAN,JUMLAH ROMBEL,ROMBEL,TOTAL
1,SMP N 4 DOPLANG SATU ATAP,JATI,2,32,64
2,SMP N 1 DOPLANG,JATI,7,32,224
3,SMP KRIDA DOPLANG,JATI,2,32,64
4,SMP MUHAMMADIYAH 7 DOPLANG,JATI,2,32,64
5,SMP N 2 DOPLANG,JATI,4,32,128
6,SMP N 3 DOPLANG,JATI,3,32,96
7,SMP MUHAMMADIYAH 5 RANDUBLATUNG,RANDUBLATUNG,2,32,64
8,SMP N 3 RANDUBLATUNG,RANDUBLATUNG,5,32,160
9,SMP RIMBA TERUNA RANDUBLATUNG,RANDUBLATUNG,2,32,64
10,SMP N 1 RANDUBLATUNG,RANDUBLATUNG,10,32,320
11,SMP N 2 RANDUBLATUNG,RANDUBLATUNG,5,32,160
12,SMP N 4 RANDUBLATUNG,RANDUBLATUNG,3,32,96
13,SMP KATOLIK ST LOUIS RANDUBLATUNG,RANDUBLATUNG,2,32,64
14,SMP N 5 RANDUBLATUNG SATU ATAP,RANDUBLATUNG,2,32,64
15,SMP N 2 MENDEN,KRADENAN,2,32,64
16,SMP N 3 MENDEN SATU ATAP,KRADENAN,2,32,64
17,SMP N 1 MENDEN,KRADENAN,8,32,256
18,SMP MUHAMMADIYAH 2 KRADENAN,KRADENAN,2,32,64
19,SMP MUHAMMADIYAH 6 KRADENAN,KRADENAN,2,32,64
20,SMP KARTAYUDA,KEDUNGTUBAN,5,32,160
21,SMP N 2 KEDUNGTUBAN,KEDUNGTUBAN,5,32,160
22,SMP BHAKTI KEDUNGTUBAN,KEDUNGTUBAN,3,32,96
23,SMP MUHAMMADIYAH KEDUNGTUBAN,KEDUNGTUBAN,2,32,64
24,SMP N 1 KEDUNGTUBAN,KEDUNGTUBAN,8,32,256
25,SMP ISLAM PLUS JOLOTUNDO,KEDUNGTUBAN,1,32,32
26,SMP KATOLIK ST LOUIS CEPU,CEPU,2,32,64
27,SMP KRISTEN 3 CEPU,CEPU,2,32,64
28,SMP ISLAM CEPU,CEPU,2,32,64
29,SMP N 4 CEPU,CEPU,7,32,224
30,SMP N 1 CEPU,CEPU,8,32,256
31,SMP N 2 CEPU,CEPU,7,32,224
32,SMP AL MUHAMMAD CEPU,CEPU,2,32,64
33,SMPS AT-TAJDID,CEPU,2,32,64
34,SMP MUHAMMADIYAH 3 CEPU,CEPU,2,32,64
35,SMP N 3 CEPU,CEPU,8,32,256
36,SMPS AL HIKMAH,CEPU,2,32,64
37,SMP N 5 CEPU,CEPU,6,32,192
38,SMP IT MUTIARA INSAN,CEPU,2,32,64
39,SMP N 2 SAMBONG,SAMBONG,4,32,128
40,SMP N 1 SAMBONG,SAMBONG,7,32,224
41,SMP N 2 JIKEN,JIKEN,5,32,160
42,SMP N 3 JIKEN,JIKEN,3,32,96
43,SMP ISLAM JIKEN,JIKEN,2,32,64
44,SMP N 4 JIKEN SATAP,JIKEN,2,32,64
45,SMP N 1 JIKEN,JIKEN,7,32,224
46,SMP PGRI BLUNGUN,JEPON,2,32,64
47,SMP N 2 JEPON,JEPON,4,32,128
48,SMP N 3 JEPON,JEPON,5,32,160
49,SMP N 1 JEPON,JEPON,10,32,320
50,SMP N 4 JEPON SATU ATAP,JEPON,2,32,64
51,SMP ISLAM MATHOLI`UL FALAH,BOGOREJO,2,32,64
52,SMP N 3 BOGOREJO SATU ATAP,BOGOREJO,2,32,64
53,SMP N 2 BOGOREJO,BOGOREJO,2,32,64
54,SMP N 1 BOGOREJO,BOGOREJO,7,32,224
55,SMP N 6 BLORA,BLORA,8,32,256
56,SMP N 3 BLORA,BLORA,9,32,288
57,SMP MUHAMMADIYAH 1 BLORA,BLORA,3,32,96
58,SMP N 2 BLORA,BLORA,10,32,320
59,SMP N 1 BLORA,BLORA,10,32,320
60,SMP KRISTEN 1 BLORA,BLORA,2,32,64
61,SMP PLUS INSAN GEMILANG,BLORA,2,32,64
62,SMP KATOLIK ADI SUCIPTO,BLORA,2,32,64
63,SMP N 4 BLORA,BLORA,6,32,192
64,SMP N 7 BLORA,BLORA,2,32,64
65,SMP N 5 BLORA,BLORA,7,32,224
66,SMP SION,BLORA,2,32,64
67,SMP ISLAM BAITUNNUR,BLORA,2,32,64
68,SMP N 1 BANJAREJO,BANJAREJO,8,32,256
69,SMP N 2 BANJAREJO,BANJAREJO,4,32,128
70,SMP N 1 TUNJUNGAN,TUNJUNGAN,8,32,256
71,SMP N 3 TUNJUNGAN,TUNJUNGAN,4,32,128
72,SMP IP (ISLAM PLUS) AL BANJARI,TUNJUNGAN,3,32,96
73,SMP N 2 TUNJUNGAN,TUNJUNGAN,6,32,192
74,SMP IT PERMATA MULIA TUNJUNGAN,TUNJUNGAN,2,32,64
75,SMP ISLAM UMMINA,TUNJUNGAN,2,32,64
76,SMP N 2 JAPAH SATU ATAP,JAPAH,2,32,64
77,SMP N 1 JAPAH,JAPAH,9,32,288
78,SMP PGRI 1 JAPAH,JAPAH,2,32,64
79,SMP MERDEKA NGAWEN,NGAWEN,2,32,64
80,SMP N 1 NGAWEN,NGAWEN,9,32,288
81,SMP N 3 NGAWEN,NGAWEN,3,32,96
82,SMP WALISONGO,NGAWEN,2,32,64
83,SMP MUHAMMADIYAH 4 NGAWEN,NGAWEN,2,32,64
84,SMP N 2 NGAWEN,NGAWEN,5,32,160
85,SMP N 4 NGAWEN,NGAWEN,4,32,128
86,SMP PGRI KUNDURAN,KUNDURAN,2,32,64
87,SMP N 1 KUNDURAN,KUNDURAN,8,32,256
88,SMP N 2 KUNDURAN,KUNDURAN,5,32,160
89,SMP N 3 KUNDURAN,KUNDURAN,4,32,128
90,SMP N 3 TODANAN SATU ATAP,TODANAN,2,32,64
91,SMP N 2 TODANAN,TODANAN,7,32,224
92,SMP N 1 TODANAN,TODANAN,8,32,256
93,SMP PGRI TODANAN,TODANAN,2,32,64
94,SMP MUHAMMADIYAH 9 TODANAN,TODANAN,2,32,64
