no,nama,zona1,zona2,zona3,zona4
1,SMP N 1 Blora, Tempelan, Kunden, Blora,
,,,, Jepon,
,,, Kauman, Banjarejo,
,,, Mlangsen, Tunjungan,
,,, Beran, Bogorejo,
,,, Bangkle,,
,,, Tegalgunung,,
,,, Jejeruk,,
,,, Sonorejo,,
,,, Tambahrejo,,
,,, Temurejo,,
,,, Tempurejo,,
,,, Karangjati,,
,,, Jetis,,
,,, Kedungjenar,,
2,SMP N 2 Blora, Kedungjenar, Kunden, Blora,
,,, Tempelan, Jepon,
,,, tegalgunung, Banjarejo,
,,, Karangjati, Tunjungan,
,,, Jetis,,
,,, Kauman,,
,,, Kamolan,,
,,, Mlangsen,,
,,, Tambaksari,,
,,, Medang,,
,,, Beran,,
,,, Bangkle,,
,,, Jejeruk,,
,,, Sonorejo,,
,,, Tambahrejo,,
,,, Temurejo,,
,,, Tempurejo,,
,,, Patalan,,
,,, Jipangrejo,,
,,, Andongrejo,,
,,, Ngadipurwo,,
,,, Ngampel,,
,,, Pelem,,
,,, Purworejo,,
,,, Purwosari,,
,,, SENDANGHARJO,,
3,SMP N 3 Blora, Kamolan,Jepangrejo, Blora,
,,,Andongrejo, Jepon,
,,,Purworejo, Banjarejo,
,,,Beran, Tunjungan,
,,,Pelem,,
,,,Mlangsen,,
,,,Jomblang,,
,,,Semanggi,,
,,,Klopoduwur,,
,,,Jatisari,,
,,,Jatiklampok,,
,,,Gedongsari,,
,,,Sendangwungu,,
,,,Buluroto,,
,,,Balongrejo,,
,,,Ngampon,,
,,,Sumberagung,,
4,SMP N 4 Blora,Tambaksari,Tempurejo, Blora, Bulu
,,,Patalan,Jepon,
,,,Ngampel,Banjarejo,
,,,Sendangharjo,Tunungan,
,,,Temurejo,,
,,,Sitirejo,,
,,,Nglangitan,,
,,,Keser,,
,,,Tempuran,,
,,,Bakselo,,
,,,Plantungan,,
,,, Karangjati,,
,,,Purwosari,,
5,SMP N 5 Blora, Jetis,Kunden, Blora,
,,,Kauman, Jepon,
,,,Mlangsen, Banjarejo,
,,,Beran, Tunjungan,
,,,Tempelan,,
,,,Bangkle,,
,,,Tegalgunung,,
,,,Jejeruk,,
,,,Sonorejo,,
,,,Tambahrejo,,
,,,Semanggi,,
,,,Klopoduwur,,
,,,Jatisari,,
,,,Jatiklampok,,
,,,Gedongsari,,
,,,Buluroto,,
,,,Sumberagung,,
,,,Sidomulyo,,
,,,Andongrejo,,
,,,Temurejo,,
,,,Tutup,,
,,,Sukorejo,,
,,,Jepangrejo,,
6,SMP N 6 Blora, Karangjati, Kunden, Blora,
,,, Kauman, Jepon,
,,, Tempelan, Banjarejo,
,,, Kedungjenar, Tunjungan,
,,, Jetis,,
,,, Kamolan,,
,,, Mlangsen,,
,,, Beran,,
,,, Bangkle,,
,,, Tegalgunung,,
,,, ,,
,,,Jejeruk,,
,,, Sonorejo,,
,,, Tambahrejo,,
,,, Purworejo,,
,,, Temurejo,,
,,, Tempurejo,,
,,, Andongrejo,,
,,,Purwosari,,
,,,Pulodagel,,
7,SMP N 7 Blora, Purwosari, Tempuran, Blora,
,,, Ngadipurwo, Jepon,
,,, Plantungan, Bogorejo,
,,, Sendangharjo, Tunjungan,
,,, Sitirejo,,
,,, Ngampel,,
,,, Jatirejo,,
,,, Keser,,
,,, Patalan,,
,,, Bacem,,
,,, Waru,,
,,, Soko,,
8,SMP N 1 Tunjungan, Tamanrejo, Tutup, Blora,
,,, Adirejo, Ngawen,
,,, Tambahrejo, Banjarejo,
,,, Tawangrejo, Tunjungan,
,,, Kedungringin ,,
,,,Sukorejo,,
,,,Plosorejo,,
,,,Sembungin,,
9,SMP N 2 Tunjungan, Sambongrejo, Sukorejo, Blora,
,,, Kalangan, Ngawen,
,,, Tunjungan, Banjarejo,
,,, Kedungrejo, Tunjungan,
,,, Tamanrejo,,
,,,Tutup,,
,,,Gempolrejo,,
10,SMP N 3 Tunjungan, Gempolrejo, Temurejo, Blora,
,,, Sonorejo, Jepon,
,,, Sukorejo, Banjarejo,
,,, Kunden, Tunjungan,
,,, Tegalgunung,,
,,, Nglangitan,,
,,, Kauman,,
,,,Karangjati,,
,,, Tamanrejo,,
,,, Kalangan,,
,,, Tambahrejo,,
,,, Mlangsen,,
11,SMP N 1 Banjarejo, Banjarejo, Sendanggayam, Blora,
,,, Wonosemi, Ngawen,
,,, Bacem, Banjarejo,
,,, karangtalun, Tunjungan,
,,, Kebonrejo,,
,,, Kembang,,
,,, Sembongin,,
,,, Plosorejo,,
,,, Balongrejo,,
,,, Sumberejo,,
,,, JETAKWANGER,,
,,, Sumberagung,,
,,,Sendangagung,,
12,SMP N 2 Banjarejo, Mojowetan, Balongsari, Blora,
,,,, Jepon,
,,, Bacem, Banjarejo,
,,, Sidomulyo, Tunjungan,
,,, Sumberagung, Ngawen,
,,, Banjarejo,,
13,SMP N 1 Jepon, Seso, Geneng, Blora,
,,, Jepon, Jepon,
,,, Brumbung, Bogorejo,
,,, Balong, Jiken,
,,, Gersi,,
,,, NGLAROHGUNUNG,,
,,, TEMPELLEMAHBANG,,
,,, Sumurboto,,
,,, Jejeruk,,
,,, Turirejo,,
,,, Blungun,,
,,,Semampir,,
,,,Kemiri,,
14,SMP N 2 Jepon, Turirejo, Sumurboto, Blora,
,,, Bangsri, Jepon,
,,, Brumbung, Bogorejo,
,,, Palon, Jiken,
,,, Semampir,,
,,, Kemiri,,
,,, Pelem,,
,,, Purworejo,,
,,, Andongrejo,,
,,, Jomblang,,
,,, Ngampon,,
,,, Genjahan,,
15,SMP N 3 Jepon, Puledagel, Gedangdawa, Blora,
,,, Kawengan, Jepon,
,,, Bacem, Bogorejo,
,,, Sarirejo, Tunjungan,
,,, Soka,,
,,, Waru,,
,,, Jurangjero,,
,,, Patalan,,
,,, Jatirejo,,
,,,Gersi,,
,,,Geneng,,
,,,Gombang,,
,,,Kajar,,
16,SMP N 4 Jepon Satu Atap,Semanggi,Gedongsari , Jepon ,
,,,Klopoduwur,Blora,
,,,Ngliron, Randublatung,
,,,Ngampon, Banjarejo,
,,,Jepangrejo,,
,,,Kalisari,,
17,SMP N 1 Bogorejo, Prantaan, Bogorejo, Bogorejo,
,,, Jeruk, Jepon,
,,, Karang, Blora,
,,, Karanganyar, Jiken,
,,, Sarirejo,,
,,, Nglengkir,,
,,, Gombang,,
,,, Tempurejo,,
,,, Bangoan,,
,,, Ketringan,,
,,, NGLAROHGUNUNG,,
,,, Jurangjero,,
,,, Kawengan,,
,,, Geneng,,
,,, Gayam,,
,,, Sendangrejo,,
,,, Gandu,,
18,SMP N 2 Bogorejo, Sendangrejo, Gayam, Bogorejo,
,,, Gandu, Jepon,
,,, Tempurejo, Blora,
,,, Tahunan, Jiken,
19,SMP N 3  Bogorejo Satu Atap,Jurangjero,Nglengkir, Bogorejo, Gunem
,,,Waru, Jepon,
,,,Karanganyar, Blora,
,,,Karang,,
,,,Tempurejo,,
,,,Gandu,,
20,SMP N 1 Cepu, Tambakromo, Ngelo, Kedungtuban, Padangan
,,, Ngroto, Sambong, Kasiman
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Cepu,,
,,, Karangboyo,,
,,, Mulyorejo,,
21,SMP N 2 Cepu, Karangboyo, Ngelo, Kedungtuban,
,,, Ngroto, Sambong,
,,, Getas, Jiken,
,,, Balun, Cepu,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Cepu,,
,,, Tambakromo,,
,,, Mulyorejo,,
22,SMP N 3 Cepu, Cepu, Ngelo, Kedungtuban, Padangan 
,,, Ngroto, Sambong, Kasiman
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,, Karangboyo,,
,,, Tambakromo,,
,,, Mulyorejo,,
23,SMP N 4 Cepu, Mulyorejo, Ngelo, Kedungtuban,
,,, Ngroto, Sambong,
,,, Getas, Cepu,
,,, Balun, Jiken,
,,, Sumberpitu,,
,,, Nglanjuk,,
,,, Kapuan,,
,,, Ngloram,,
,,, Mernung,,
,,, Gadon,,
,,, Jipang,,
,,, Cabean,,
,,, Kentong,,
,,,Tambakromo,,
,,,Cepu,,
,,,Karangboyo,,
